stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\wjoe5\OneDrive\Desktop\Projects\A5Tutorial\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\wjoe5\OneDrive\Desktop\Projects\A5Tutorial\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.10
dtor     D               dtor.c:196  _al_register_destructor          [   0.00022] added dtor for timer 0000022B255C07D0, func 00007FFC7CF91050
dtor     D               dtor.c:196  _al_register_destructor          [   0.00026] added dtor for queue 0000022B255CED20, func 00007FFC7CF91C53
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00033] Also searching C:\Users\wjoe5\OneDrive\Desktop\Projects\A5Tutorial\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00043] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00045] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00124] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.02415] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.02462] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.02465] al_display=0000022B2562F000
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.02466] al_display->vt=0000022B27205DB0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.03131] found 192 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.03136] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03137] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.03138] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03139] Score is : 641
